,origx,origy,value,orig_srid,date,property,unit,quality,parameter,sampledevice,samplemethod,compartment,measurementmethod
34,71555.103,451073.653,-4.077,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
35,71554.422,451070.599,-4.048,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
36,71553.179,451067.645,-3.999,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
37,71552.551,451064.674,-3.982,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
38,71553.054,451061.415,-3.917,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
39,71555.16,451058.267,-3.895,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
40,71557.664,451055.007,-3.897,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
41,71560.857,451051.747,-3.834,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
42,71564.343,451048.687,-3.782,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
43,71567.743,451045.652,-3.639,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
44,71571.096,451042.605,-3.566,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
45,71573.949,451039.575,-3.447,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
46,71576.633,451036.94,-3.309,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
47,71579.289,451034.444,-3.204,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
48,71581.492,451031.582,-3.132,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
49,71583.96,451025.473,-3.022,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
50,71583.98,451020.326,-2.962,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
51,71583.757,451018.4,-2.922,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
52,71583.283,451016.484,-2.947,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
53,71582.824,451014.563,-2.99,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
54,71582.255,451012.999,-3.008,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
55,71581.469,451011.801,-3.03,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
56,71580.443,451011.064,-3.057,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
57,71579.624,451010.541,-2.981,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
58,71578.844,451010.165,-3.023,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
59,71577.998,451009.696,-3.094,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
60,71577.044,451009.602,-3.078,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
61,71576.069,451009.134,-3.13,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
62,71575.056,451008.779,-3.119,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
63,71574.165,451008.239,-3.001,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
64,71573.136,451008.016,-3.162,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
65,71572.088,451007.844,-3.237,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
66,71570.905,451007.581,-3.277,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
67,71569.784,451007.341,-3.284,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
68,71568.643,451007.013,-3.371,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
69,71567.663,451006.552,-3.296,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
